image_id,split,true_label,label_name,f000,f001,f002,f003,f004,f005,f006,f007,f008,f009,f010,f011,f012,f013,f014,f015,f016,f017,f018,f019,f020,f021,f022,f023,f024,f025,f026,f027,f028,f029,f030,f031,f032,f033,f034,f035,f036,f037,f038,f039,f040,f041,f042,f043,f044,f045,f046,f047,f048,f049,f050,f051,f052,f053,f054,f055,f056,f057,f058,f059,f060,f061,f062,f063,f064,f065,f066,f067,f068,f069,f070,f071,f072,f073,f074,f075,f076,f077,f078,f079,f080,f081,f082,f083,f084,f085,f086,f087,f088,f089,f090,f091,f092,f093,f094,f095,f096,f097,f098,f099,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,f200,f201,f202,f203,f204,f205,f206,f207,f208,f209,f210,f211,f212,f213,f214,f215,f216,f217,f218,f219,f220,f221,f222,f223,f224,f225,f226,f227,f228,f229,f230,f231,f232,f233,f234,f235,f236,f237,f238,f239,f240,f241,f242,f243,f244,f245,f246,f247,f248,f249,f250,f251,f252,f253,f254,f255
157,train,0,Normal,0.28117,-0.01356,0.2854,0.69372,0.55736,0.35262,0.13358,0.6935,0.30105,0.66748,0.16907,0.34577,0.03904,0.12994,0.4645,0.19418,0.09098,0.07968,0.14874,0.0962,0.41157,0.32227,0.40107,0.26239,0.10633,0.22389,0.48486,0.2984,0.45369,0.18908,0.8973,0.71144,0.09582,0.22494,0.186,0.68023,0.77569,0.68712,0.05509,0.09823,0.79446,0.09679,0.35119,0.07684,0.15852,0.06679,0.05848,0.0952,0.22442,0.26904,0.68379,0.2151,0.1921,0.24621,0.46548,0.521,0.02734,0.34426,0.27213,0.09759,0.44318,0.15333,0.24575,0.41375,0.51704,0.22519,0.1793,0.01116,0.75715,0.8602,0.25618,0.23804,0.25877,0.26418,0.28001,0.22292,0.93614,0.45701,0.21345,0.16429,0.60406,0.57771,0.16035,0.85458,-0.01923,0.11703,0.7765,0.1993,0.50127,0.26027,0.02158,0.95308,0.15248,0.39235,0.27845,0.2385,0.52197,0.24942,0.64798,0.43595,0.17277,0.10391,0.17405,0.12169,0.03808,0.11649,0.28559,0.05866,0.3199,0.8993,0.22483,0.25558,0.41125,0.30967,0.18535,0.22511,0.78025,0.41727,0.22428,-0.014,0.73214,0.06557,0.3351,0.2196,0.37579,0.16082,0.06087,0.04313,0.20752,0.25529,0.84472,0.1144,0.15211,-0.02578,0.18696,0.0259,0.36259,0.12391,-0.03392,0.13754,0.47607,0.12963,0.36058,0.55898,0.27277,0.15594,0.44991,0.03524,0.19469,0.18102,-0.03727,0.46451,0.37834,0.11539,0.059,0.35683,0.39314,-0.08324,0.07387,0.22568,0.23543,0.71571,0.59619,0.27286,0.16529,0.21982,0.32416,0.24385,0.21764,0.22451,1.00288,0.12945,0.87469,0.04306,0.40278,0.08942,0.34596,0.26197,1.13794,0.15176,0.65296,0.46857,0.14574,0.42316,0.18245,0.18591,0.42086,-0.04552,0.03681,0.28442,0.99154,0.13162,0.18078,0.34787,0.17668,0.1493,0.11105,0.31889,0.13998,0.04108,0.2006,0.08615,0.23725,0.32189,0.18903,0.45937,0.22,0.21484,0.15429,0.74825,0.05841,0.42832,0.04729,0.0316,0.91565,0.43042,0.28092,-0.005,0.79297,1.19474,0.28755,0.27752,0.17238,0.15935,0.46551,0.44956,0.56165,0.9138,0.00108,0.47706,0.0881,0.0894,0.11788,0.0443,0.179,0.15049,0.14082,0.19913,0.40145,0.27955,0.1816,0.08172,0.44887,-0.05772,0.49215,0.04324,1.20638,0.13229,0.81605,0.15201,0.17888,0.79472,0.41123,0.41913,0.33199,0.18261
184,train,0,Normal,0.19913,-0.07378,0.53063,0.93893,0.66597,0.38354,0.18994,0.69705,0.22281,0.64237,0.23299,0.40096,0.09355,0.27729,0.55714,0.26512,0.24125,0.07474,0.20609,0.19019,0.47507,0.33307,0.54105,0.29697,0.05943,0.38142,0.40435,0.25017,0.64365,0.17881,0.9291,0.80269,0.01546,0.31234,0.255,0.83401,1.06331,0.80966,0.11196,0.04553,1.1009,0.07609,0.35219,0.0519,0.12748,0.08476,0.02875,0.0739,0.18823,0.38205,0.71389,0.28847,0.21852,0.17609,0.51231,0.47295,0.0818,0.32029,0.2773,0.09582,0.65334,0.11601,0.22325,0.2025,0.49936,0.17294,0.31106,0.08753,0.73868,0.94356,0.51042,0.18257,0.27455,0.31355,0.19524,0.2776,0.99077,0.47702,0.1799,0.15,0.47039,0.62798,0.11308,1.09091,0.05331,0.05452,0.76581,0.14649,0.55184,0.30812,0.02365,1.23127,0.10208,0.39054,0.30758,0.21739,0.522,0.30335,0.7517,0.3502,0.10882,0.12238,0.19435,0.1201,0.07506,0.01978,0.26751,0.03836,0.33155,1.08488,0.15053,0.45145,0.41097,0.23175,0.11885,0.32627,0.98216,0.48579,0.28073,0.0982,0.847,0.05083,0.46425,0.11101,0.61467,0.24952,0.039,0.00172,0.431,0.19989,0.958,0.23461,0.10056,-0.0251,0.2515,0.13297,0.3818,0.09834,-0.0294,0.17843,0.2575,0.28392,0.33827,0.51341,0.2269,0.31859,0.40595,0.07765,0.35003,0.21022,-0.02872,0.3881,0.28388,-0.00828,0.00127,0.48106,0.58242,-0.02638,0.32062,0.21626,0.30096,0.85681,0.65842,0.52897,0.17404,0.28769,0.31402,0.20186,0.41816,0.30546,1.27179,0.16858,1.0454,0.07523,0.3973,0.07866,0.29039,0.32099,1.4843,0.15021,0.88545,0.57063,0.15596,0.46141,0.14396,0.21364,0.33936,0.00538,0.06583,0.31744,1.24895,0.1647,0.05396,0.35096,0.32639,0.15273,0.28881,0.33644,0.13983,0.0996,0.33977,0.09084,0.12072,0.26498,0.22889,0.54899,0.24465,0.44876,0.13009,0.8453,0.21477,0.42109,0.13661,0.04235,0.95151,0.46449,0.23902,-0.02797,1.07212,1.39773,0.35024,0.14165,0.20743,0.16324,0.65107,0.73008,0.43713,1.22524,-0.09958,0.29821,0.11791,0.2124,0.10111,0.03332,0.25254,0.07478,0.21123,0.13513,0.37176,0.27725,0.21436,0.2659,0.41213,-0.07375,0.47928,0.0463,1.43618,0.11434,0.99938,0.16084,0.29111,1.00375,0.46358,0.39914,0.2127,0.1876
142,train,0,Normal,0.19675,0.07174,0.61205,0.98867,0.79638,0.12909,0.0257,0.7886,0.25422,0.45926,0.35962,0.30969,0.00436,0.19735,0.35031,0.42254,0.06596,0.1338,0.18044,0.05471,0.84497,0.29127,0.2888,0.02719,0.16857,0.33454,0.40153,0.17261,0.85701,0.11908,0.57351,0.92414,-0.01938,0.14441,0.21669,0.86528,0.9748,0.53993,0.15608,0.047,0.79272,0.00708,0.24628,0.18543,0.17691,0.07663,-0.01072,0.04701,0.15965,0.54132,0.70383,0.32998,0.15822,0.19277,0.23137,0.5005,0.01098,0.25144,0.20806,-0.02722,0.52885,0.09515,0.14067,0.29418,0.5945,0.27266,0.21875,-0.01706,0.58986,0.8736,0.30875,0.16052,0.273,0.43243,0.26467,0.23121,0.96227,0.4781,0.11872,0.11863,0.47099,0.69993,0.07233,1.0404,-0.00287,-0.03091,0.77722,0.23076,0.39074,0.4233,0.11194,1.16619,0.16135,0.1475,0.10585,0.33079,0.66136,0.22877,0.79379,0.53958,0.14015,0.03376,0.2377,0.16129,0.06159,0.06322,0.07151,0.08603,0.25185,1.01982,0.35639,0.29527,0.21374,0.59574,0.14165,0.38951,1.08088,0.32805,0.11941,0.04168,0.82586,0.25729,0.47441,0.244,0.37682,0.16982,-0.03661,0.00626,0.19987,0.23435,0.87025,0.09131,0.25413,-0.00885,0.17256,-0.00589,0.39239,0.12334,0.0004,0.3566,0.39881,0.31585,0.47363,0.55243,0.22349,0.32864,0.36888,0.04743,0.15181,0.13079,0.00748,0.5473,0.44106,0.2591,0.06682,0.49624,0.58398,-0.09302,0.45313,0.27091,0.15717,0.92554,0.76337,0.38296,0.27175,0.16322,0.2277,0.23181,0.11883,0.19598,1.5258,0.13651,1.24914,0.02985,0.82561,0.14775,0.36249,0.33751,1.35742,0.18775,0.57908,0.42319,0.13021,0.43835,0.20149,0.26055,0.44712,0.06022,-0.02948,0.39996,1.28646,0.19474,0.14737,0.29657,0.18634,-0.01506,0.36001,0.18416,0.08533,0.14898,0.29572,0.0462,0.23681,0.23644,0.24877,0.52583,0.26132,0.13959,0.16594,1.05481,0.13231,0.3235,0.07745,-0.02183,1.10623,0.42123,0.04223,-0.04023,1.08615,1.71509,0.39084,0.26401,0.06624,0.23508,0.66786,0.40802,0.4508,0.88065,0.0415,0.36791,0.05947,0.01215,0.06344,-0.04931,0.2468,0.07366,0.20874,0.471,0.52389,0.17517,0.17553,0.12909,0.38085,-0.02563,0.49145,0.0551,1.45911,0.14348,1.00686,0.04353,0.20765,0.95981,0.4971,0.21917,0.28501,0.17704
105,train,0,Normal,0.15596,-0.05198,0.65662,0.88391,0.53585,0.34215,0.17366,0.85596,0.23816,0.55867,0.39135,0.35182,0.06378,0.28642,0.39179,0.31774,0.15191,0.08178,0.17008,0.10689,0.59247,0.18535,0.44083,0.14468,0.25416,0.31577,0.26855,0.15253,0.74389,0.13674,0.71881,0.80221,0.00407,0.11186,0.245,0.87675,0.90474,0.69013,0.081,0.04461,1.04653,0.02418,0.27532,0.11753,0.17912,0.05256,0.0206,0.12307,0.22224,0.36155,0.67755,0.30861,0.17243,0.07208,0.31018,0.48855,0.06216,0.32367,0.29201,0.10898,0.57112,0.17207,0.03146,0.21136,0.60296,0.20105,0.24763,-0.01795,0.6244,0.96258,0.45722,0.16281,0.25848,0.50208,0.21501,0.29262,0.96532,0.39329,0.17932,0.22856,0.54371,0.82597,0.03717,1.12076,0.05781,0.02797,0.77057,0.26853,0.59472,0.32058,0.08874,1.12795,0.16181,0.22499,0.19181,0.34976,0.49775,0.25518,0.81544,0.41743,0.21618,0.10546,0.34532,0.11067,0.07328,0.04843,0.12411,0.06295,0.18739,1.17463,0.19836,0.27583,0.29259,0.18922,0.07278,0.2596,1.06494,0.37989,0.35884,0.04306,0.79503,0.03482,0.39471,0.10201,0.42693,0.20048,0.00499,-0.01931,0.33425,0.21636,0.86922,0.14768,0.08591,0.0153,0.22932,0.14512,0.28518,0.1028,0.00529,0.21434,0.26145,0.27838,0.35501,0.51077,0.14609,0.3035,0.29403,0.07312,0.2416,0.22418,-0.00375,0.38899,0.38183,0.05753,0.02173,0.49147,0.53725,-0.06804,0.35168,0.18442,0.24715,0.86925,0.70493,0.37902,0.14557,0.26584,0.31661,0.24621,0.21502,0.1701,1.42128,0.34013,1.1597,0.00906,0.64317,0.22427,0.2966,0.44376,1.46369,0.15818,0.66496,0.41928,0.14868,0.32154,0.15546,0.27997,0.40884,-0.01758,0.07651,0.2425,1.31955,0.12448,0.093,0.35774,0.17012,0.01665,0.28529,0.30021,0.17838,0.07213,0.25237,0.1633,0.09097,0.0859,0.37041,0.5663,0.13159,0.35785,0.1632,0.93062,0.18398,0.38791,0.15603,0.01442,1.12509,0.50041,0.11003,0.00661,1.08543,1.60801,0.4185,0.15355,0.12579,0.11605,0.62239,0.65697,0.42872,1.16226,-0.06928,0.25655,0.03918,0.14132,0.00167,-0.00967,0.24753,0.09851,0.23791,0.27902,0.43241,0.21938,0.17553,0.1177,0.41304,-0.00473,0.50637,0.02812,1.49561,0.07014,1.08687,0.08981,0.21618,0.98029,0.41402,0.26763,0.28692,0.20393
165,train,0,Normal,0.1566,-0.00892,0.33127,0.9492,0.97492,0.65415,0.00648,0.78056,0.24118,0.72019,0.17119,0.48921,0.06826,-0.04499,0.36789,0.58632,0.17016,0.03561,0.20856,0.04635,0.33194,0.1351,0.36958,0.23242,0.39341,0.13703,0.37354,0.31211,0.07039,0.18076,0.89706,0.43268,0.05116,0.28804,0.13295,0.28312,0.75214,1.43261,0.05853,0.1624,0.72381,0.11564,0.29606,0.07675,0.25688,0.02746,0.13098,-0.07077,0.21346,0.26408,0.546,0.08639,0.37759,0.34847,0.42529,0.52372,-0.00636,0.27315,0.3241,0.0266,0.50518,0.24214,0.64054,0.37918,0.43062,0.31331,0.43092,0.10995,0.52008,0.76993,0.28443,0.17824,0.2149,0.19993,0.50382,0.0501,0.87761,0.62786,0.16972,0.13424,0.42019,0.39187,0.11185,0.80489,-0.02296,-0.01576,0.23361,0.16922,0.62209,0.44862,0.05911,0.69406,-0.03006,0.57459,0.2379,0.15731,0.63275,0.19564,0.49194,0.43734,0.52413,0.0381,0.24743,0.32614,0.01342,0.07097,0.22296,0.09443,0.25803,0.73975,0.19083,0.39515,0.36982,0.31181,0.22102,0.21462,0.53188,0.37344,0.13449,0.11083,0.85712,0.08954,0.38345,0.1708,0.2437,0.1895,0.03897,-0.05778,0.15367,0.00999,0.69444,0.02341,0.13307,0.0277,0.13658,0.08787,0.44811,0.13157,-0.0356,0.26899,0.22885,0.32161,0.4055,0.51697,0.52601,0.40813,0.59175,0.09127,0.1742,0.04866,0.10733,0.63616,0.73863,0.12497,0.01467,0.49646,0.75567,-0.09622,0.36536,0.39843,0.30032,0.82734,0.29418,0.47962,0.22402,0.16833,0.32954,0.1681,0.26356,-0.03745,0.53977,0.04676,0.80199,0.05002,0.7347,0.09931,0.48845,0.2878,0.83419,-0.00841,0.08315,0.73899,0.17244,0.6195,0.25557,-0.01651,0.6488,0.05698,-0.04669,0.24668,1.05379,0.05699,0.18759,0.19923,0.13973,0.13033,0.3344,0.3154,-0.05539,0.11684,0.33279,-0.05896,0.46502,0.27451,0.27614,0.77675,0.52812,0.30511,0.10838,0.21192,0.26335,0.26242,-0.02462,0.03663,0.69595,0.47503,0.16481,-0.00261,0.77689,1.26882,0.31519,0.31344,0.26937,0.07156,0.72224,0.33545,0.32297,0.78359,0.06015,0.48397,0.07655,0.15207,-0.02253,0.09372,0.24149,0.06033,0.34813,0.17422,0.29356,0.04879,0.21486,0.08535,0.25917,0.08435,0.58494,-0.03968,1.2603,0.49924,0.52055,0.22273,0.28668,0.7627,0.46172,0.06753,0.28825,0.06625
069,train,1,Hemorrhage,0.52687,0.37529,0.32553,0.46889,0.15098,0.45083,0.48883,0.57683,0.41763,0.31833,0.53846,0.60532,0.47695,0.55085,0.68435,0.25577,0.34755,0.54686,0.18551,0.44184,0.32434,0.17973,0.45292,0.40671,0.28078,0.6065,0.3425,0.38785,0.52594,0.726,0.14714,0.16462,0.33357,0.23796,0.31561,0.36483,0.26621,0.2024,0.25558,0.33446,0.38404,0.04707,0.34055,0.36965,0.62856,0.46358,0.13967,0.35294,0.328,0.49594,0.34717,0.84961,0.40811,0.25653,0.20404,0.30879,0.61471,0.53086,0.5732,0.34473,0.68244,0.05848,0.18356,0.22551,0.47952,0.09672,0.45562,0.46176,0.15969,0.19794,0.50259,0.36812,0.38013,0.30058,0.45368,0.0908,0.35937,0.35374,0.34035,0.38313,0.51454,0.40568,0.27339,0.33733,0.6576,0.37279,0.19617,0.61738,0.41816,0.38853,0.44967,0.47929,0.45836,0.17977,0.24906,0.55763,0.2127,0.43244,0.37039,0.1358,0.42904,0.5133,0.48522,0.27684,0.28655,0.31182,0.34032,0.22779,0.20291,0.52296,0.15392,0.51858,0.2397,0.62511,0.30024,0.77146,0.53888,0.17999,0.26145,0.64787,0.21958,0.09907,0.60939,0.36313,0.3796,0.47086,0.60543,0.50107,0.43279,0.53101,0.42525,0.37812,0.54277,0.41007,0.31791,0.56327,0.4251,0.1455,0.43997,0.33134,0.45243,0.42503,0.24447,0.42815,0.38288,0.56637,0.20248,0.38717,0.23578,0.76413,0.39349,0.15532,0.29789,0.21421,0.77285,0.66236,0.5543,0.47744,0.5564,0.15911,0.25356,0.57131,0.22648,0.393,0.07618,0.38498,0.24676,0.70355,0.5536,0.59471,0.58644,0.41258,0.47794,0.50174,0.54335,0.52642,0.16862,0.5691,0.38401,0.7488,0.46825,0.15962,0.219,0.36009,0.25685,0.10633,0.28087,0.33532,0.54383,0.58573,0.48985,0.31038,0.36534,0.49523,0.31122,0.37149,0.36565,0.33313,0.34333,0.44789,0.80193,0.6481,0.32904,0.13353,0.50282,0.43978,0.35601,0.58325,0.27522,0.35321,0.29487,0.34097,0.4939,0.32064,0.43512,0.31134,0.30554,0.4354,0.50109,0.32936,0.45897,0.23858,0.35543,0.38154,0.32039,0.28961,0.26273,0.26589,0.38792,0.12591,0.63931,0.44435,0.25292,0.18524,0.62885,0.43951,0.32696,0.26543,0.09344,0.06968,0.19408,0.43265,0.64261,0.16429,0.60516,0.68327,0.39705,0.29919,0.29324,0.22765,0.32075,0.38879,0.32554,0.42489,0.2935,0.39457
169,train,0,Normal,0.16184,0.11281,0.37823,1.12143,1.06608,0.52859,-0.02394,0.60029,0.15849,0.80863,0.21938,0.39333,-0.02004,-0.05728,0.34587,0.56648,0.06007,-0.00196,0.23442,-0.09198,0.54941,0.11503,0.36629,0.10014,0.22202,0.10289,0.35673,0.24741,0.17394,0.22578,0.95827,0.57566,0.06207,0.17682,0.11751,0.33776,0.81201,1.0421,0.11369,0.19863,0.77145,0.14449,0.32987,0.1712,0.2562,0.05062,-0.04836,-0.05071,0.18347,0.23434,0.44648,0.08927,0.25429,0.34711,0.35539,0.50072,-0.02543,0.20497,0.24709,0.02356,0.423,0.18516,0.56985,0.20459,0.5286,0.26946,0.46323,0.13044,0.70326,0.69425,0.24998,0.23717,0.26871,0.19919,0.43259,0.15879,0.89267,0.65777,0.12261,0.07067,0.28253,0.44455,0.08305,0.86479,-0.05523,0.01813,0.30269,0.08364,0.60353,0.39841,0.06573,0.71633,-0.04086,0.46859,0.1423,0.06428,0.55333,0.16765,0.53487,0.4329,0.43429,-0.06158,0.26377,0.40037,0.0295,0.05028,0.12798,0.12705,0.27352,0.82103,0.14304,0.22306,0.38658,0.33603,0.30881,0.26996,0.52166,0.3253,0.10929,0.02799,0.80289,0.08428,0.33357,0.29422,0.12186,0.25238,0.05564,-0.0844,0.06453,0.03112,0.55847,0.01462,0.10981,0.04628,0.07637,0.09043,0.39593,0.1163,-0.07541,0.2407,0.28794,0.25882,0.49116,0.56334,0.40145,0.37403,0.64788,-0.01333,0.208,0.0318,0.05136,0.64754,0.82725,0.20116,0.08085,0.38821,0.77091,-0.11752,0.34104,0.38705,0.13372,0.95326,0.36877,0.3889,0.3627,0.0533,0.35101,0.11069,0.12647,0.01332,0.6288,0.0172,0.91189,0.01231,0.63327,0.01538,0.42743,0.32041,0.9356,-0.03636,0.02697,0.77706,0.14571,0.63855,0.18551,-0.00469,0.45016,0.02956,-0.00989,0.23641,1.10182,0.00533,0.1409,0.18634,0.12333,0.03063,0.27456,0.27594,-0.06593,0.0361,0.25288,-0.07907,0.36922,0.22936,0.20911,0.69844,0.57398,0.15387,0.04549,0.29469,0.1164,0.26418,-0.00133,-0.07892,0.6745,0.42224,0.15439,-0.0635,0.76101,1.37238,0.37873,0.29972,0.21463,0.08383,0.78996,0.289,0.28538,0.54019,0.0394,0.44779,0.01987,0.06182,-0.02166,0.13268,0.13503,0.06764,0.14278,0.2103,0.54132,0.23961,0.19009,-0.00156,0.23795,0.19188,0.41285,0.01087,1.19241,0.26267,0.5458,0.15957,0.3036,0.85624,0.41734,0.00645,0.43818,0.11889
196,train,0,Normal,0.24518,0.0117,0.49031,0.85324,0.66755,0.45739,0.05113,0.77786,0.23871,0.6612,0.09987,0.31646,0.05111,0.23307,0.56737,0.2227,-0.0338,0.00928,0.21652,0.08609,0.56757,0.18164,0.50399,0.14889,0.2105,0.23181,0.32422,0.25813,0.55378,0.11665,0.94101,0.90429,0.09508,0.28691,0.18303,0.75115,0.86029,0.82844,0.04639,0.0711,0.75502,0.06067,0.25972,0.02227,0.31733,-0.00146,-0.04007,0.09768,0.21684,0.33894,0.64157,0.26381,0.13515,0.11733,0.46955,0.5202,0.06979,0.2058,0.31288,0.07704,0.63183,0.05182,0.21117,0.23784,0.40163,0.23943,0.14481,0.09403,0.83908,0.73024,0.4073,0.11303,0.38908,0.31025,0.32416,0.24789,0.84977,0.55405,0.15244,0.19624,0.34165,0.51928,0.07615,0.8827,-0.02382,0.09362,0.63493,0.25688,0.45702,0.38553,0.02948,0.97058,0.07275,0.28408,0.13434,0.2842,0.53261,0.2285,0.62404,0.37971,0.31332,0.03917,0.17203,0.23551,0.04877,0.17853,0.35956,0.03857,0.2323,1.03785,0.10174,0.1397,0.3543,0.20319,0.14884,0.30019,0.68621,0.38781,0.20641,-0.03792,0.61853,0.05365,0.35159,0.24897,0.4729,0.26919,-0.01152,-0.04599,0.30802,0.20186,0.64464,0.21445,0.16889,-0.01429,0.24554,0.13238,0.34528,0.07502,-0.01661,0.17304,0.44349,0.23263,0.43311,0.59132,0.1606,0.26528,0.522,0.00779,0.20732,0.18293,0.04311,0.36008,0.42194,0.05938,0.13891,0.57225,0.72414,-0.11338,0.31559,0.13069,0.11841,0.60465,0.52678,0.47976,0.15134,0.17131,0.38825,0.15212,0.16059,0.14907,1.14114,0.09307,0.87147,0.03503,0.46555,0.15243,0.43439,0.23212,1.16049,0.11261,0.5959,0.51623,0.14333,0.49143,0.17271,0.15858,0.40769,0.00879,-0.0356,0.34427,1.26795,0.08027,0.18999,0.2094,0.25282,0.16697,0.2497,0.18783,0.07868,0.0331,0.20013,0.04118,0.25546,0.15334,0.12591,0.54388,0.47251,0.32827,0.0881,0.72944,0.08483,0.33952,0.0169,0.01771,0.89427,0.46195,0.28135,-0.01918,0.9425,1.21448,0.36844,0.12122,0.0822,0.15334,0.66343,0.61945,0.43112,1.00983,-0.00651,0.31541,0.03605,0.10689,0.01077,0.09144,0.2526,0.09238,0.14822,0.12463,0.41909,0.18954,0.2341,0.14529,0.25581,0.00771,0.5139,0.04165,1.22408,0.1425,0.65907,0.12722,0.18433,0.82935,0.39822,0.26813,0.29877,0.17157
147,train,0,Normal,0.34527,0.07558,0.55151,0.83212,0.63006,0.32854,0.1056,0.61104,0.24963,0.63411,0.30681,0.31662,0.04535,0.22384,0.52505,0.22758,0.02626,0.12719,0.17887,0.1448,0.64896,0.15944,0.45764,0.18241,0.11305,0.42726,0.40928,0.2813,0.72863,0.05759,0.67332,0.83992,0.03025,0.27289,0.24767,0.77202,0.96508,0.61155,0.16532,0.09491,0.92507,0.09675,0.26207,0.13606,0.25254,0.07156,0.06846,0.10532,0.19225,0.41295,0.67429,0.30649,0.15013,0.21515,0.32123,0.29269,0.0983,0.33684,0.34108,0.03584,0.54395,0.03887,0.06244,0.25454,0.48074,0.14591,0.20919,0.05535,0.72722,0.75479,0.38933,0.14463,0.34903,0.45745,0.21359,0.22128,0.75954,0.24669,0.1453,0.08975,0.5119,0.65573,0.07743,0.85841,0.03982,0.08545,0.65812,0.20753,0.43738,0.31999,0.11273,1.08395,0.128,0.31819,0.2983,0.21306,0.5597,0.2155,0.63663,0.40838,0.21869,0.09653,0.33385,0.16347,0.14081,0.06467,0.15187,-0.00642,0.35654,1.00041,0.13667,0.26015,0.28767,0.38064,0.12841,0.28243,0.82779,0.38873,0.24862,0.10188,0.64886,0.15472,0.51876,0.22765,0.46721,0.14146,0.04329,0.02372,0.31791,0.19819,0.78147,0.24908,0.22478,0.02432,0.18462,0.11562,0.40201,0.16978,-0.04916,0.28273,0.29694,0.22976,0.34853,0.50265,0.1797,0.3097,0.34712,0.08313,0.24694,0.15644,0.06068,0.41667,0.26424,0.14968,0.15984,0.4418,0.53146,-0.04134,0.30657,0.28161,0.21998,0.81324,0.63477,0.43072,0.19297,0.21964,0.28518,0.18034,0.21723,0.2065,1.26309,0.11853,0.96501,0.11289,0.68665,0.10703,0.26142,0.33575,1.30063,0.0978,0.53636,0.49092,0.13116,0.30665,0.14371,0.29746,0.41929,0.00472,0.0295,0.34253,1.2004,0.21683,0.05258,0.30893,0.24548,0.08674,0.35316,0.2397,0.06579,0.03866,0.16768,0.08973,0.17887,0.29649,0.1651,0.47722,0.18707,0.30398,0.19588,0.81972,0.196,0.40606,0.13805,0.07988,0.87255,0.46608,0.18673,0.02526,0.89773,1.34497,0.37826,0.33753,0.16483,0.16125,0.58423,0.52732,0.34827,0.90197,-0.01606,0.29206,0.05065,0.11833,0.00305,0.07976,0.18469,0.06911,0.16042,0.21091,0.50999,0.18249,0.13366,0.19527,0.34506,-0.00762,0.53913,-0.00959,1.23451,0.09557,0.94695,0.15401,0.24107,0.7774,0.41896,0.26703,0.2684,0.19623
175,train,0,Normal,0.13522,0.18737,0.30533,1.03242,0.7989,0.17701,0.0059,0.49725,0.27887,0.65222,0.08393,0.30268,-0.00477,0.0111,0.21959,0.62698,0.07837,0.06244,0.28729,-0.00208,0.49964,0.05464,0.28927,0.07833,0.28258,0.08138,0.5461,0.16152,0.16748,0.08224,0.9134,0.65268,0.05699,0.22155,0.16326,0.41313,0.71438,0.95967,0.15614,0.09041,0.72177,0.24509,0.22783,0.11124,0.0276,0.10917,0.10833,0.03834,0.19985,0.13354,0.43887,0.14874,0.14017,0.29485,0.31933,0.32038,0.02061,0.23647,0.26966,0.07859,0.46584,0.07156,0.34264,0.22169,0.38004,0.23863,0.15878,0.0869,0.82879,0.49266,0.22563,0.18174,0.24633,0.18105,0.3592,0.22824,0.64091,0.46869,0.17702,0.1828,0.38652,0.54578,0.19314,0.80946,0.06635,-0.03906,0.39905,0.25793,0.58825,0.26218,0.09991,0.66938,-0.0441,0.35693,0.07732,0.18096,0.43064,0.20538,0.38378,0.55532,0.20639,0.00198,0.1902,0.49693,0.02293,0.08304,0.11071,0.05718,0.34493,0.44622,0.0652,0.18358,0.37577,0.50093,0.26798,0.40987,0.54287,0.41407,0.15581,-0.02371,0.61306,0.19045,0.35761,0.13687,0.13543,0.33459,0.03127,-0.03476,0.04098,0.08409,0.40057,-0.01449,0.12756,0.03307,0.10565,0.02752,0.40679,0.19371,0.01475,0.37054,0.18917,0.12285,0.34589,0.66958,0.26214,0.32536,0.58625,-0.01452,0.18719,0.06008,0.1551,0.74223,0.493,0.35357,0.08028,0.2627,0.40776,-0.02302,0.24013,0.52505,0.18628,0.7787,0.51485,0.30604,0.31147,0.06508,0.26251,0.11315,-0.0215,0.0483,0.66001,0.0749,0.87369,0.04011,0.37606,0.07702,0.62053,0.24978,0.75671,0.01946,0.21398,0.8546,0.24461,0.60295,0.20777,0.16286,0.4068,0.14722,-0.02081,0.27015,1.07313,0.03662,0.17979,0.28886,0.13132,0.19378,0.30693,0.08532,0.05294,0.05279,0.18731,-0.01483,0.33653,0.37194,0.1347,0.41448,0.3981,0.22157,0.13118,0.39183,0.16327,0.28207,0.05934,0.07853,0.47509,0.43323,0.17435,-0.04227,0.6204,1.05774,0.15519,0.35704,0.20378,0.05418,0.7093,0.25865,0.19396,0.53314,0.1282,0.46703,0.17894,0.04068,0.13664,0.21263,0.06197,0.02035,0.09675,0.12469,0.51976,0.18172,0.19989,-0.00811,0.19994,0.25104,0.27803,0.02637,0.92105,0.17353,0.63262,0.20445,0.25619,0.67932,0.55526,0.11369,0.38813,0.08457
